Element_0,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Element_9,Element_10,Element_11,Element_12,Element_13,Element_14,Element_15
0.2638,0.036511,-0.96389,488.46,0.11331,-0.99354,-0.0066235,355.1,-0.9579,-0.10747,-0.26623,281.6,0.0,0.0,0.0,1.0
0.262,0.036767,-0.96437,489.5,0.1113,-0.99376,-0.0076479,355.4,-0.95863,-0.10533,-0.26446,281.89,0.0,0.0,0.0,1.0
0.25849,0.035152,-0.96537,490.58,0.11054,-0.99385,-0.006589,355.1,-0.95967,-0.10501,-0.26079,281.61,0.0,0.0,0.0,1.0
0.25529,0.035931,-0.96619,491.32,0.11163,-0.99372,-0.0074577,355.08,-0.9604,-0.10596,-0.2577,281.2,0.0,0.0,0.0,1.0
0.25284,0.035507,-0.96685,492.2,0.11435,-0.99342,-0.0065789,354.6,-0.96073,-0.1089,-0.25524,280.91,0.0,0.0,0.0,1.0
0.25291,0.035691,-0.96683,492.32,0.11644,-0.99318,-0.0062044,354.3,-0.96046,-0.11101,-0.25535,281.47,0.0,0.0,0.0,1.0
0.24987,0.035877,-0.96761,493.87,0.11528,-0.99331,-0.0070612,354.56,-0.96139,-0.10978,-0.25234,280.79,0.0,0.0,0.0,1.0
0.2497,0.035224,-0.96768,495.09,0.11355,-0.9935,-0.0068648,354.63,-0.96164,-0.10816,-0.25208,280.84,0.0,0.0,0.0,1.0
0.24848,0.034388,-0.96803,496.47,0.10982,-0.99392,-0.0071186,355.17,-0.96239,-0.10454,-0.25075,280.73,0.0,0.0,0.0,1.0
0.24752,0.033167,-0.96831,497.8,0.10884,-0.99404,-0.0062274,355.01,-0.96275,-0.10385,-0.24965,280.72,0.0,0.0,0.0,1.0
0.24408,0.03373,-0.96915,499.29,0.10767,-0.99414,-0.0074839,355.47,-0.96376,-0.10252,-0.24629,280.49,0.0,0.0,0.0,1.0
0.23935,0.03251,-0.97039,500.78,0.1065,-0.99429,-0.0070412,355.43,-0.96507,-0.10166,-0.24144,280.14,0.0,0.0,0.0,1.0
0.23149,0.032367,-0.9723,502.36,0.10607,-0.99433,-0.0078465,355.58,-0.96704,-0.10131,-0.23361,279.32,0.0,0.0,0.0,1.0
0.22578,0.031678,-0.97365,503.45,0.10879,-0.99403,-0.0071143,355.28,-0.96808,-0.10432,-0.22788,279.17,0.0,0.0,0.0,1.0
0.22373,0.030199,-0.97418,504.58,0.1094,-0.99398,-0.0056862,354.93,-0.96849,-0.1053,-0.22569,279.23,0.0,0.0,0.0,1.0
0.22115,0.030519,-0.97476,505.71,0.11012,-0.9939,-0.0061341,354.9,-0.969,-0.10599,-0.22316,278.93,0.0,0.0,0.0,1.0
0.22096,0.030007,-0.97482,506.89,0.10984,-0.99393,-0.0056979,354.56,-0.96908,-0.10581,-0.22292,279.13,0.0,0.0,0.0,1.0
0.21471,0.031323,-0.97616,508.66,0.10487,-0.99443,-0.00884,355.15,-0.97103,-0.10047,-0.2168,277.46,0.0,0.0,0.0,1.0
0.2178,0.033009,-0.97543,508.9,0.10728,-0.99418,-0.0096882,355.0,-0.97008,-0.10254,-0.22007,278.1,0.0,0.0,0.0,1.0
0.21726,0.034652,-0.97549,509.67,0.10893,-0.99398,-0.011048,354.9,-0.97002,-0.10386,-0.21973,277.9,0.0,0.0,0.0,1.0
0.21899,0.034663,-0.9751,510.71,0.11231,-0.99361,-0.010097,354.46,-0.96924,-0.10731,-0.22148,278.45,0.0,0.0,0.0,1.0
0.21455,0.032897,-0.97613,512.75,0.1101,-0.99385,-0.0092936,354.19,-0.97049,-0.10549,-0.21686,277.61,0.0,0.0,0.0,1.0
0.21031,0.032477,-0.97709,514.55,0.10664,-0.99424,-0.010094,355.01,-0.9718,-0.10207,-0.21256,276.8,0.0,0.0,0.0,1.0
